order_id	quantity	item_name	choice_description	item_price
926	1	Steak Burrito	[Roasted Chili Corn Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$9.25 
926	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]	$8.75 
926	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Lettuce]]	NULL
926	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$8.75 
926	1	Chicken Salad Bowl	[Roasted Chili Corn Salsa, [Rice, Sour Cream]]	$8.75 
926	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$9.25 
926	1	Chicken Burrito	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
926	1	Steak Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Sour Cream]]	$9.25 
926	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$8.75 
926	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Cheese]]	$9.25 
926	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]	$8.75 
926	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
926	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Cheese]]	$8.75 
926	1	Barbacoa Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]	$9.25 
926	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$8.75 
926	1	Steak Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$9.25 
926	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
927	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 
927	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 
928	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 
928	1	Chips and Tomatillo Red Chili Salsa	NULL	$2.95 
928	1	Canned Soft Drink	[Nestea]	$1.25 
929	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.75 
929	1	Bottled Water	NULL	$1.50 
930	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Guacamole, Lettuce]]	$11.25 
